1.000000, -4992.605762, 2498.097278, 0.025046, 0.001458, 0.001758, 0.000103
1.100000, -4984.655133, 2496.060572, 0.041557, 0.002128, 0.003123, 0.000157
1.200000, -4971.429604, 2492.551864, 0.065610, 0.003159, 0.005705, 0.000288
1.300000, -4950.329752, 2486.853735, 0.104610, 0.005312, 0.010529, 0.000547
1.400000, -4921.061125, 2478.737707, 0.139822, 0.007162, 0.016085, 0.000806
1.500000, -4878.341908, 2466.477778, 0.189401, 0.008421, 0.025326, 0.001183
1.600000, -4821.553442, 2449.476744, 0.257453, 0.011083, 0.040718, 0.001926
1.700000, -4743.730670, 2424.851736, 0.319401, 0.014333, 0.063517, 0.003322
1.800000, -4649.014085, 2392.125524, 0.456622, 0.021188, 0.119046, 0.005049
1.900000, -4521.772692, 2344.806399, 0.553854, 0.022653, 0.200149, 0.012087
2.000000, -4358.069741, 2272.796066, 0.787414, 0.036158, 0.504364, 0.033883
2.100000, -4152.350825, 2170.783857, 0.949285, 0.045569, 0.875461, 0.036048
2.200000, -3860.190702, 1952.371178, 1.509557, 0.068818, 5.466060, 0.427123
2.300000, -3413.355570, 1199.497503, 2.213040, 0.084767, 50.355435, 1.887844
2.400000, -2999.171412, 407.568371, 1.025828, 0.045490, 13.494815, 0.668559
2.500000, -2769.050541, 349.296310, 0.846499, 0.047083, 10.123385, 0.431676
2.600000, -2575.282924, 268.171483, 0.716678, 0.035056, 5.296704, 0.230449
2.700000, -2408.173925, 205.982999, 0.577898, 0.027308, 3.741483, 0.178714
2.800000, -2268.172724, 174.385765, 0.534001, 0.024235, 2.436611, 0.107346
2.900000, -2148.474265, 152.011769, 0.442193, 0.021232, 1.813487, 0.104780
3.000000, -2043.757454, 136.625803, 0.389392, 0.015824, 1.418634, 0.086689
