1.000000, -4746.823456, 0.122134, 0.008790
1.100000, -4726.849469, 0.148800, 0.007513
1.200000, -4696.133102, 0.160419, 0.009825
1.300000, -4664.304752, 0.154019, 0.006785
1.400000, -4619.754775, 0.186453, 0.009682
1.500000, -4581.864145, 0.214603, 0.010238
1.600000, -4504.684443, 0.301182, 0.014836
1.700000, -4422.284587, 0.334317, 0.016030
1.800000, -4310.965242, 0.473912, 0.021310
1.900000, -4184.415075, 0.559711, 0.023973
2.000000, -4014.944770, 0.760291, 0.037423
2.100000, -3814.704743, 0.972607, 0.037709
2.200000, -3529.646624, 1.149991, 0.055975
2.300000, -3277.561899, 1.224553, 0.057234
2.400000, -2970.379248, 1.056579, 0.055387
2.500000, -2739.578480, 0.795124, 0.035583
2.600000, -2555.366327, 0.728453, 0.031894
2.700000, -2398.393936, 0.603610, 0.025645
2.800000, -2254.530637, 0.481965, 0.021039
2.900000, -2139.322588, 0.442766, 0.022301
3.000000, -2037.929855, 0.408803, 0.018879
